2013-03-05 14:38:24,710 [main] INFO  ramework.test.context.TestContextManager -@TestExecutionListeners is not present for class [class com.sds.medialib.manager.test.MediaFileManagerTest]: using defaults.
2013-03-05 14:38:25,241 [main] INFO  eans.factory.xml.XmlBeanDefinitionReader -Loading XML bean definitions from class path resource [applicationContext.xml]
2013-03-05 14:38:25,993 [main] INFO  nnotation.ClassPathBeanDefinitionScanner -JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2013-03-05 14:38:26,222 [main] INFO  ontext.support.GenericApplicationContext -Refreshing org.springframework.context.support.GenericApplicationContext@a69ec584: startup date [Tue Mar 05 14:38:26 CST 2013]; root of context hierarchy
2013-03-05 14:38:26,383 [main] INFO  ans.factory.config.PropertiesFactoryBean -Loading properties file from class path resource [config.properties]
2013-03-05 14:38:26,462 [main] INFO  ctory.support.DefaultListableBeanFactory -Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@e03b44ce: defining beans [systemConfig,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,dirManager,mediaFileManager,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
2013-03-05 14:38:29,839 [Thread-5] INFO  ontext.support.GenericApplicationContext -Closing org.springframework.context.support.GenericApplicationContext@a69ec584: startup date [Tue Mar 05 14:38:26 CST 2013]; root of context hierarchy
2013-03-05 14:38:29,839 [Thread-5] INFO  ctory.support.DefaultListableBeanFactory -Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@e03b44ce: defining beans [systemConfig,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,dirManager,mediaFileManager,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
2013-03-05 14:38:53,464 [main] INFO  ramework.test.context.TestContextManager -@TestExecutionListeners is not present for class [class com.sds.medialib.manager.test.MediaFileManagerTest]: using defaults.
2013-03-05 14:38:53,606 [main] INFO  eans.factory.xml.XmlBeanDefinitionReader -Loading XML bean definitions from class path resource [applicationContext.xml]
2013-03-05 14:38:53,832 [main] INFO  nnotation.ClassPathBeanDefinitionScanner -JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2013-03-05 14:38:53,928 [main] INFO  ontext.support.GenericApplicationContext -Refreshing org.springframework.context.support.GenericApplicationContext@85e3b1a6: startup date [Tue Mar 05 14:38:53 CST 2013]; root of context hierarchy
2013-03-05 14:38:54,038 [main] INFO  ans.factory.config.PropertiesFactoryBean -Loading properties file from class path resource [config.properties]
2013-03-05 14:38:54,078 [main] INFO  ctory.support.DefaultListableBeanFactory -Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@fd085cf6: defining beans [systemConfig,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,dirManager,mediaFileManager,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
2013-03-05 14:39:07,408 [Thread-5] INFO  ontext.support.GenericApplicationContext -Closing org.springframework.context.support.GenericApplicationContext@85e3b1a6: startup date [Tue Mar 05 14:38:53 CST 2013]; root of context hierarchy
2013-03-05 14:39:07,409 [Thread-5] INFO  ctory.support.DefaultListableBeanFactory -Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@fd085cf6: defining beans [systemConfig,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,dirManager,mediaFileManager,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
